
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10137653 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 04 ;343.802,07;700.000,00;50.89;Loja, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137653
 10137654 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOJA, N. 05 ;233.231,30;463.000,00;49.63;Loja, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137654
 10137656 ;DF ;BRASILIA ;SETOR BANCARIO SUL ;SBS QUADRA 1 BL K LOTE 29 SOBRELOJA, N. 05 ;146.084,40;290.000,00;49.63;Sala, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10137656
 8787700425423 ;DF ;BRASILIA ;ST HAB RIACHO FUNDO ;QN 8F, N. SN, Apto 202, COND 16 BL 03 LT 01 02 ;92.429,17;155.973,69;40.75;Apartamento, 103.63 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700425423
 8787705245920 ;DF ;BRASILIA ;ST MEIRELES SANTA ;RUA 200- RESIDENCIAL PORTO PILAR, N. LT 202, Apto 401, BL 21- SETOR MEIRELES, SANTA - RA-XIII ;116.047,39;192.000,00;39.56;Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705245920
 1444413071076 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ;QUADRA QN 104, N. S/N, Apto 403, BLOCO 11, LOTE 1, CONJUNTO 1 ;123.996,39;197.000,00;37.06;Apartamento, 48.77 de área total, 43.39 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413071076
 1444419492774 ;DF ;BRASILIA ;SETOR HAB EST DO SOL ;CONDOMINIO OURO VERMELHO II, N. SN, LT 02, QD 01 - FASE II ;258.112,29;405.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419492774
 8097509756014 ;DF ;BRASILIA ;ASA NORTE ;CLN 410, N. SN, Apto 105, BL B QD 410 ;223.060,01;350.000,00;36.27;Apartamento, 68.57 de área total, 52.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8097509756014
 1444416526775 ;DF ;BRASILIA ;SETOR DE INDUSTRIAS GRAFICAS ;QUADRA 04 SIG SUL, N. SN, Apto 219, LT 75 ENTRADA B VG 371 ;315.470,58;495.000,00;36.27;Sala, 35.32 de área total, 35.32 de área privativa, 0.00 de área do terreno, WC, 1 sala(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416526775
 10215739 ;DF ;BRASILIA ;ALTO DA BOA VISTA (SOBRADINHO) ;RODOVIA BR-020, N. 00, BL B, LT 12, ENTRE QUADRA 101/102 ;251.739,15;395.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215739
 1787700255589 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 300, N. SN, Apto 103, BLOCO 16, LOTE RESIDENCIAL 301, VG N. ;254.925,72;400.000,00;36.27;Apartamento, 0.00 de área total, 189.34 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700255589
 8555538803943 ;DF ;BRASILIA ;SAMAMBAIA NORTE (SAMAMBAIA) ;QUADRA QN 403, Apto 1104, LTS 03 E 04, CJ A ;210.576,84;263.000,00;19.94;Apartamento, 0.00 de área total, 48.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538803943
 10222638 ;DF ;BRASILIA ;AGUAS CLARAS ;AVENIDA JACARANDA, N. S/N, Apto 1805, LT 20 ;262.000,00;262.000,00;0.00;Apartamento, 0.00 de área total, 32.29 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222638
 8155601977650 ;DF ;BRASILIA ;  ;QR 406, N. SN, Apto 301, LT 01 CONJ 9-A VG 17 ;274.000,00;274.000,00;0.00;Apartamento, 0.00 de área total, 59.23 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8155601977650
 1444401316648 ;DF ;BRASILIA ;ASA NORTE ;QUADRA SCRN 712/713, N. 46, Apto 302, BL H ;328.000,00;328.000,00;0.00;Apartamento, 0.00 de área total, 37.80 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401316648
 10224691 ;DF ;BRASILIA ;TAGUATINGA NORTE (TAGUATINGA) ;QNF 4, N. SN, LT 01 ;539.000,00;539.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 340.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10224691
 8555535874289 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ; QD QN 120, N. SN, Apto 01, LT 5/6/7 CJ 2 ;427.500,00;427.500,00;0.00;Apartamento, 109.98 de área total, 71.45 de área privativa, 0.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535874289
 1444421397180 ;DF ;BRASILIA ;SETOR HABITACIONAL JARDIM BOTANICO ;RUA DOS PEQUIS, N. SN, LT 7A ;425.000,00;425.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 892.71 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421397180
 8787709662517 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL - RESIDENCIAL PORTO PILAR, N. 403, Apto 101, BL 06 LT 13 ;214.000,00;214.000,00;0.00;Apartamento, 122.17 de área total, 70.91 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709662517
 8787711757589 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QUADRA 501, N. SN, Apto 103, BL B1 CONJUNTO 01 LT 12 RA XXVIII ;136.000,00;136.000,00;0.00;Apartamento, 63.61 de área total, 46.40 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711757589
 1444404005678 ;DF ;BRASILIA ;TAGUATINGA ;QUADRA C-06, N. SN, Apto 905, LT 03 SETOR CENTRAL ;293.134,90;293.134,90;0.00;Apartamento, 81.53 de área total, 47.57 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404005678
 8787706040116 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 300 LOTE 301, N. S/N, Apto 302, BL 24 VG 270 LT 301 ;204.663,04;200.000,00;0.00;Apartamento, 138.95 de área total, 60.50 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706040116
 1444401941097 ;DF ;BRASILIA ;BRASILIA ;QD 703 SCLRN, N. SN, Apto 204, BL F ENTRADA 14 ;351.194,80;318.899,45;0.00;Apartamento, 45.70 de área total, 39.76 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401941097
