
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444418444855 ;GO ;ABADIANIA ;RES. LEBLON ;QUADRA 08, N. SN, LT 17 R XV DE SETEMBRO ;84.030,91;143.528,99;41.46;Casa, 80.45 de área total, 80.45 de área privativa, 229.12 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418444855
 8056600015547 ;GO ;ACREUNA ;LOT SETOR CANADA ;RUA JOVELINO LOURENÇO SIPRIANO, N. SN, LT 39 QD 41 ;100.000,00;100.000,00;0.00;Casa, 0.00 de área total, 59.33 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8056600015547
 8444422588122 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QD 4, N. S/N, Apto 101, LT 16B ;19.877,20;110.000,00;81.93;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422588122
 8444407199382 ;GO ;AGUAS LINDAS DE GOIAS ;AGUAS LINDAS DE GOIA ;RUA M4, N. S/N, QD 08, LT 06 ;21.928,71;115.000,00;80.94;Casa, 55.22 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407199382
 8787706228026 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 202, QD 72 LT 06 RUA 18 ;24.654,40;125.000,00;80.28;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706228026
 8444425097723 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 06, LT 16B ;23.076,52;117.000,00;80.28;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425097723
 8444406609714 ;GO ;AGUAS LINDAS DE GOIAS ;RES OURO VILLE ;RUA M4, N. SN, QD 08  LT 05 ;26.416,55;126.000,00;79.04;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406609714
 8444410468178 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM ;sn, N. SN, CASA04, Q76 LT 08  CONJB ;27.343,84;130.000,00;78.97;Casa, 122.86 de área total, 63.21 de área privativa, 150.35 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410468178
 8444422653323 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 302, Lote 16-B ;30.759,01;145.000,00;78.79;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422653323
 8787703011166 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 202, QD 72, LT 08 ;29.655,28;132.031,49;77.54;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703011166
 8444417093030 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, Apto 202, LT 5 QD 72 RUA 18 ;32.517,21;143.000,00;77.27;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417093030
 8444424726174 ;GO ;AGUAS LINDAS DE GOIAS ;ROYAL PARQUE ;QUADRA 12C, N. SN, CS 02 LT 02B RUA 14 ;38.049,38;165.000,00;76.94;Casa, 0.00 de área total, 68.10 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424726174
 8444419604708 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS ;RUA DOIS, Apto 103, LT 03C QD 6 ;43.881,27;186.000,00;76.41;Apartamento, 0.00 de área total, 58.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419604708
 8444422564983 ;GO ;AGUAS LINDAS DE GOIAS ;Park Aguas Bonitas I ;QD 04 LT 16-B, Apto 301, ETAPA B ;18.454,71;78.000,00;76.35;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422564983
 8555519496038 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QD QUADRA 105, N. SN, LT 01, RUA 35. ;32.654,85;138.000,00;76.34;Casa, 0.00 de área total, 59.81 de área privativa, 215.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519496038
 8787703682710 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 101, LT 02, RUA 18 ;35.912,22;150.000,00;76.06;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703682710
 8787706340047 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 202, LOTE 03, RUA 18 ;33.996,91;142.000,00;76.06;Apartamento, 74.22 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706340047
 8444424927838 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, Apto 103, LT 16-B ;26.037,90;106.000,00;75.44;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424927838
 8787703562642 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 102, LOTE 05 TERREO ;38.972,67;155.000,00;74.86;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703562642
 8444427028079 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;RUA 38 (TRINTA E OITO), N. SN, Apto 102, BLOCO H LOTE 11 QUADRA 85 ;35.853,12;142.593,08;74.86;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427028079
