
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10203835 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-E ;210.313,72;330.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2018.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203835
 10203836 ;SC ;AGROLANDIA ;CENTRO ;RUA RICARDO HOBUS, N. 00, LT 01-D ;286.791,44;450.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203836
 8787711161449 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CASA 39 ;132.970,97;220.000,00;39.56;Casa, 50.01 de área total, 50.01 de área privativa, 73.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711161449
 8787712819162 ;SC ;ARAQUARI ;Porto Grande ;RUA JOSE JULHO MOREIRA, N. 3900, CS 54 ;135.993,04;225.000,00;39.56;Casa, 0.00 de área total, 50.01 de área privativa, 73.30 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712819162
 8444416200800 ;SC ;ARAQUARI ;ITINGA ; SAO BENTO DO SUL, N. 668, CS 004 ;138.410,69;229.000,00;39.56;Casa, 45.51 de área total, 44.46 de área privativa, 81.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416200800
 8444420114506 ;SC ;ARAQUARI ;ITINGA ; R OSWALDO BARBOSA FERREIRA, N. 54, Apto 101-, BL A ;123.904,77;205.000,00;39.56;Apartamento, 0.00 de área total, 49.46 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420114506
 8787711188177 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 02 ;183.691,35;300.000,00;38.77;Casa, 50.88 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711188177
 8444411962621 ;SC ;ARAQUARI ;ITINGA ; JORGE TOBIAS DA SILVA, N. 593, CS 03 ;146.953,08;240.000,00;38.77;Casa, 63.55 de área total, 56.95 de área privativa, 108.33 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411962621
 8787714672215 ;SC ;ARAQUARI ;Porto Grande ; JOSE JULHO MOREIRA, N. 3900, CS 166 VG 166 ;166.165,91;232.000,00;28.38;Casa, 50.88 de área total, 50.01 de área privativa, 73.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714672215
 8787712227079 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 005 VG 005 ;158.223,28;217.000,00;27.09;Casa, 50.88 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712227079
 8787715630370 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CS 143 VG 143 ;239.000,00;235.000,00;0.00;Casa, 50.88 de área total, 50.01 de área privativa, 147.29 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715630370
 8787714015460 ;SC ;ARAQUARI ;Porto Grande ; RUA JOSE JULHO MOREIRA, N. 3900, CASA 277 ;235.000,00;221.500,00;0.00;Casa, 50.88 de área total, 50.01 de área privativa, 77.91 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714015460
 8787708530323 ;SC ;ARAQUARI ;ITINGA ; RUA DAS CARPAS, N. 594, CS 69 ;239.000,00;215.000,00;0.00;Casa, 51.75 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708530323
 8555517977500 ;SC ;ARARANGUA ;LAGOAO ;RUA CARLOS CARDOSO, N. 1406, LT 13 QD P ANTIGA RUA F ;228.000,00;228.000,00;0.00;Casa, 0.00 de área total, 76.00 de área privativa, 298.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517977500
 8555527310509 ;SC ;ARARANGUA ;COLONINHA ;RUA IVO ALMEIDA MACHADO, N. 135, Apto 308D, BL D 3º PAVIMENTO ;150.000,00;150.000,00;0.00;Apartamento, 69.70 de área total, 52.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527310509
 8444413998534 ;SC ;BALNEARIO PICARRAS ;NOSSA SRA DA PAZ ;R 5.170 - DAS DALIAS, N. 13, Apto 201, APTO 201 ;260.000,00;260.000,00;0.00;Apartamento, 0.00 de área total, 38.58 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413998534
 8444428193812 ;SC ;BALNEARIO PICARRAS ;Bela Vista ;RUA 2850 - PESCADA, N. SN, LT 11 QD 33 LOT JD ARAXA ;366.854,08;228.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 324.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428193812
 8444424807115 ;SC ;BALNEARIO RINCAO ;RUA PROJETADA C ; RUA PROJETADA C, N. SN, LT 04 QD B ;58.285,46;102.000,00;42.86;Terreno, 0.00 de área total, 0.00 de área privativa, 391.89 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424807115
 1444420323670 ;SC ;BALNEARIO RINCAO ;PRAIA DO RINCAO ;PRAIA DO RINCAO, N. SN, QD 215, LT 01 ;112.988,26;73.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420323670
 8444404418237 ;SC ;BARRA VELHA ;ITAJUBA ;R 1160, N. 35, CASA 01 ;450.000,00;450.000,00;0.00;Casa, 0.00 de área total, 83.48 de área privativa, 150.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404418237
 8444411780990 ;SC ;BARRA VELHA ;QUINTA DOS AÇORIANOS ; RUA CASTELO DE GUIMARÃES, N. 454, CS 01 ;230.000,00;230.000,00;0.00;Casa, 54.22 de área total, 54.22 de área privativa, 105.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411780990
 8444419164015 ;SC ;BARRA VELHA ;QUINTA DOS AÇORIANOS ; RUA D EVORA, N. 381, CASA 03 ;240.000,00;240.000,00;0.00;Casa, 42.00 de área total, 42.00 de área privativa, 115.56 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419164015
 8444401467261 ;SC ;BIGUACU ;BOM VIVER ;RUA DOMINGOS ANTONIO ZIMMERMANN, N. 190, Apto 33, BL 07 VG 51 ;150.000,00;150.000,00;0.00;Apartamento, 0.00 de área total, 41.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401467261
