Número do Bem,Motivo
8444417459301,Falha na requisição HTTP
8787709861218,Falha na requisição HTTP
8444424606748,Falha na requisição HTTP
8444417872551,Falha na requisição HTTP
8787703409496,Falha na requisição HTTP
8444422863344,Falha na requisição HTTP
8444421983362,Falha na requisição HTTP
8444412581346,Falha na requisição HTTP
8044200423377,Falha na requisição HTTP
8444408311313,Falha na requisição HTTP
8444421674505,Falha na requisição HTTP
8444408707152,Falha na requisição HTTP
8444406488682,Falha na requisição HTTP
1444419391153,Falha na requisição HTTP
8444404464530,Falha na requisição HTTP
8444403267464,Falha na requisição HTTP
1444400055050,Falha na requisição HTTP
8444412412293,Falha na requisição HTTP
8444433183790,Falha na requisição HTTP
8787709579954,Falha na requisição HTTP
8787711547274,Falha na requisição HTTP
8787704634027,Falha na requisição HTTP
8787716453790,Falha na requisição HTTP
8787709072027,Falha na requisição HTTP
8787711125906,Falha na requisição HTTP
8787703145758,Falha na requisição HTTP
8787705334809,Falha na requisição HTTP
8787703665093,Falha na requisição HTTP
8444422884856,Falha na requisição HTTP
8444432739174,Falha na requisição HTTP
8787709084807,Falha na requisição HTTP
8444405959541,Falha na requisição HTTP
8787712862564,Falha na requisição HTTP
8787711261516,Falha na requisição HTTP
8444426425511,Falha na requisição HTTP
8787708849117,Falha na requisição HTTP
8787708343337,Falha na requisição HTTP
8787714450786,Falha na requisição HTTP
8787710389993,Falha na requisição HTTP
8787700233761,Falha na requisição HTTP
8787705870360,Falha na requisição HTTP
8787714243101,Falha na requisição HTTP
8787708293569,Falha na requisição HTTP
8787705761022,Falha na requisição HTTP
8787709636281,Falha na requisição HTTP
8787701415740,Falha na requisição HTTP
8444427749213,Falha na requisição HTTP
8787703153009,Falha na requisição HTTP
8555518725750,Falha na requisição HTTP
8787701835617,Falha na requisição HTTP
8555527096310,Falha na requisição HTTP
8555518887645,Falha na requisição HTTP
8444429552549,Falha na requisição HTTP
8444406656356,Falha na requisição HTTP
8444412864127,Falha na requisição HTTP
8444424137683,Falha na requisição HTTP
8787716760197,Falha na requisição HTTP
8444427023549,Falha na requisição HTTP
8444434943380,Falha na requisição HTTP
8444425565859,Falha na requisição HTTP
8787716055833,Falha na requisição HTTP
8787712339810,Falha na requisição HTTP
8787702587773,Falha na requisição HTTP
8787708515510,Falha na requisição HTTP
8444414271883,Falha na requisição HTTP
8787711604197,Falha na requisição HTTP
8787716325105,Falha na requisição HTTP
8787704471519,Falha na requisição HTTP
8444415689849,Falha na requisição HTTP
8787708692650,Falha na requisição HTTP
8787701957844,Falha na requisição HTTP
8444423466551,Falha na requisição HTTP
8787713553247,Falha na requisição HTTP
8444426525338,Falha na requisição HTTP
8555527280286,Falha na requisição HTTP
8444415554021,Falha na requisição HTTP
8444426133278,Falha na requisição HTTP
8787712760133,Falha na requisição HTTP
8444403486930,Falha na requisição HTTP
8444429350245,Falha na requisição HTTP
8787701152595,Falha na requisição HTTP
8444416385398,Falha na requisição HTTP
8555514449341,Falha na requisição HTTP
8787708380453,Falha na requisição HTTP
8444432540661,Falha na requisição HTTP
8444413159117,Falha na requisição HTTP
8444409992160,Falha na requisição HTTP
8444408542099,Falha na requisição HTTP
8444428354883,Falha na requisição HTTP
8787703782260,Falha na requisição HTTP
8787703375923,Falha na requisição HTTP
8555535235251,Falha na requisição HTTP
8787703714736,Falha na requisição HTTP
8444424449758,Falha na requisição HTTP
8787704151891,Falha na requisição HTTP
8555526152403,Falha na requisição HTTP
8787703026422,Falha na requisição HTTP
8444425467946,Falha na requisição HTTP
8444426522746,Falha na requisição HTTP
8555536006035,Falha na requisição HTTP
8444404338357,Falha na requisição HTTP
8787711309870,Falha na requisição HTTP
8787712667249,Falha na requisição HTTP
8444425647464,Falha na requisição HTTP
8444409736270,Falha na requisição HTTP
8444423325508,Falha na requisição HTTP
8555533475859,Falha na requisição HTTP
8444431745685,Falha na requisição HTTP
8444425565670,Falha na requisição HTTP
8444428231617,Falha na requisição HTTP
8444425582419,Falha na requisição HTTP
8787713296511,Falha na requisição HTTP
8444418805491,Falha na requisição HTTP
8444431554235,Falha na requisição HTTP
8444417912545,Falha na requisição HTTP
8787705779843,Falha na requisição HTTP
8555527618627,Falha na requisição HTTP
8444433534312,Falha na requisição HTTP
8555525860323,Falha na requisição HTTP
8444428688951,Falha na requisição HTTP
8787708749155,Falha na requisição HTTP
8787711017224,Falha na requisição HTTP
8787707264573,Falha na requisição HTTP
8444423241886,Falha na requisição HTTP
8787701039772,Falha na requisição HTTP
8444412460441,Falha na requisição HTTP
8787705455665,Falha na requisição HTTP
8787716650928,Falha na requisição HTTP
8444426839189,Falha na requisição HTTP
8787708520760,Falha na requisição HTTP
8444428652019,Falha na requisição HTTP
8444424398126,Falha na requisição HTTP
8787716811123,Falha na requisição HTTP
8444416861726,Falha na requisição HTTP
8444427300860,Falha na requisição HTTP
8787706115248,Falha na requisição HTTP
8787709311706,Falha na requisição HTTP
8787714335251,Falha na requisição HTTP
8787711029419,Falha na requisição HTTP
8444428051341,Falha na requisição HTTP
8787710592390,Falha na requisição HTTP
8444409809951,Falha na requisição HTTP
8787707273327,Falha na requisição HTTP
8444408559161,Falha na requisição HTTP
8444427729670,Falha na requisição HTTP
8787706625955,Falha na requisição HTTP
8787711166300,Falha na requisição HTTP
8444413081517,Falha na requisição HTTP
8444429639598,Falha na requisição HTTP
8555532169681,Falha na requisição HTTP
8787711219650,Falha na requisição HTTP
8787710356831,Falha na requisição HTTP
8555513000618,Falha na requisição HTTP
8444428233601,Falha na requisição HTTP
8444427368287,Falha na requisição HTTP
8555536176046,Falha na requisição HTTP
8787704551024,Falha na requisição HTTP
8787708327587,Falha na requisição HTTP
8444425195008,Falha na requisição HTTP
8787702158651,Falha na requisição HTTP
8787715226189,Falha na requisição HTTP
8444429171030,Falha na requisição HTTP
8787709438560,Falha na requisição HTTP
8787705500393,Falha na requisição HTTP
8787717196937,Falha na requisição HTTP
8787709843902,Falha na requisição HTTP
8444421781026,Falha na requisição HTTP
8444416730273,Falha na requisição HTTP
8787714234200,Falha na requisição HTTP
8787705741684,Falha na requisição HTTP
8444418977748,Falha na requisição HTTP
8787716272982,Falha na requisição HTTP
8444414919190,Falha na requisição HTTP
8444430042478,Falha na requisição HTTP
8787713366013,Falha na requisição HTTP
8555534957350,Falha na requisição HTTP
8555505923591,Falha na requisição HTTP
8787704214133,Falha na requisição HTTP
8444424700604,Falha na requisição HTTP
8787711619429,Falha na requisição HTTP
8444428312927,Falha na requisição HTTP
8444418282758,Falha na requisição HTTP
8787705245920,Falha na requisição HTTP
8787709351422,Falha na requisição HTTP
8787714185233,Falha na requisição HTTP
8787713367745,Falha na requisição HTTP
8787712915714,Falha na requisição HTTP
8555531544667,Falha na requisição HTTP
8555534698797,Falha na requisição HTTP
8787709207836,Falha na requisição HTTP
8444428984895,Falha na requisição HTTP
8787715394677,Falha na requisição HTTP
8787709247307,Falha na requisição HTTP
8787716003701,Falha na requisição HTTP
8444423838874,Falha na requisição HTTP
8787714497383,Falha na requisição HTTP
8787702423703,Falha na requisição HTTP
8787710100446,Falha na requisição HTTP
8787712885190,Falha na requisição HTTP
8787706839505,Falha na requisição HTTP
8787701699500,Falha na requisição HTTP
8787711828494,Falha na requisição HTTP
8444421079119,Falha na requisição HTTP
8444429606746,Falha na requisição HTTP
8787714864769,Falha na requisição HTTP
8444419247328,Falha na requisição HTTP
8444425938205,Falha na requisição HTTP
8787710376158,Falha na requisição HTTP
8787708644361,Falha na requisição HTTP
8787708162480,Falha na requisição HTTP
8555532751380,Falha na requisição HTTP
8787710450900,Falha na requisição HTTP
8787701249424,Falha na requisição HTTP
8787711557652,Falha na requisição HTTP
8787713174858,Falha na requisição HTTP
8787714271539,Falha na requisição HTTP
8787714102133,Falha na requisição HTTP
8787712101768,Falha na requisição HTTP
8555531252453,Falha na requisição HTTP
8787707078931,Falha na requisição HTTP
8787708458177,Falha na requisição HTTP
8787704858073,Falha na requisição HTTP
8444427070725,Falha na requisição HTTP
8787709359555,Falha na requisição HTTP
8787715815192,Falha na requisição HTTP
8444420815822,Falha na requisição HTTP
8444408928620,Falha na requisição HTTP
8787701389153,Falha na requisição HTTP
8787713495433,Falha na requisição HTTP
8787714508873,Falha na requisição HTTP
8787706886325,Falha na requisição HTTP
8444410113000,Falha na requisição HTTP
8444427590079,Falha na requisição HTTP
8787707863604,Falha na requisição HTTP
8787702184008,Falha na requisição HTTP
8787709785341,Falha na requisição HTTP
8444402920164,Falha na requisição HTTP
8444426961898,Falha na requisição HTTP
8444429101377,Falha na requisição HTTP
8444423188489,Falha na requisição HTTP
8787714700057,Falha na requisição HTTP
8787707869700,Falha na requisição HTTP
8787709926824,Falha na requisição HTTP
8787705333926,Falha na requisição HTTP
8555534925076,Falha na requisição HTTP
8555528141611,Falha na requisição HTTP
8787709358192,Falha na requisição HTTP
8555522167910,Falha na requisição HTTP
8444424182557,Falha na requisição HTTP
8555534692039,Falha na requisição HTTP
8787712629134,Falha na requisição HTTP
8787701011274,Falha na requisição HTTP
8787714741969,Falha na requisição HTTP
8444404452990,Falha na requisição HTTP
8444429605707,Falha na requisição HTTP
8787711111549,Falha na requisição HTTP
8444428737200,Falha na requisição HTTP
8787713624101,Falha na requisição HTTP
8787710747237,Falha na requisição HTTP
8787717152247,Falha na requisição HTTP
8444423131207,Falha na requisição HTTP
8444428983422,Falha na requisição HTTP
8787708049366,Falha na requisição HTTP
8444422123715,Falha na requisição HTTP
8444410406466,Falha na requisição HTTP
8444424189004,Falha na requisição HTTP
8444411311906,Falha na requisição HTTP
8787704713989,Falha na requisição HTTP
8555538533903,Falha na requisição HTTP
8787704797899,Falha na requisição HTTP
8787702888943,Falha na requisição HTTP
8787709606935,Falha na requisição HTTP
8787705505883,Falha na requisição HTTP
8555522805534,Falha na requisição HTTP
8444428349570,Falha na requisição HTTP
8444417051639,Falha na requisição HTTP
