Número do Bem,Motivo,Tipo Erro,Mensagem Erro,Status HTTP,Request ID Azion,Edge Location,Challenge Detectado,Tentativas,Origem Coleta,URL,URL Final,Trecho Resposta
8555525710488,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525710488 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525710488,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525710488,
1444402332825,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402332825 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402332825,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402332825,
1444406403140,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406403140 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406403140,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406403140,
8787700481978,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700481978 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700481978,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700481978,
1444415009203,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415009203 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415009203,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415009203,
8444425654681,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425654681 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425654681,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425654681,
10212078,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10212078 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10212078,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10212078,
8192500326586,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8192500326586 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8192500326586,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8192500326586,
1444405970083,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405970083 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405970083,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405970083,
10150725,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150725 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150725,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150725,
10211723,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723,
